                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3188,                 4.4002,                 1.4179,                0.00943,                 0.0284,                 0.0248,                 0.0179,                 1.1991,                 4.2724,                 1.3655,                 0.0712,                 0.0032,                 0.0032
                      1,                 1.3778,                 3.3976,                 1.4266,                0.02999,                0.27296,                0.10832,                0.06346,                 1.4304,                 3.5445,                 1.5783,               0.041446,              0.0064464,              0.0064464
                      2,                 1.4552,                 2.7111,                  1.482,                0.58936,                0.09521,                 0.0982,                0.05553,                 1.5269,                 2.9339,                 1.6373,               0.011638,              0.0096383,              0.0096383
                      3,                 1.4646,                 2.5142,                 1.4842,                 0.6425,                0.17493,                0.16382,                0.08833,                 1.6449,                 2.7286,                 1.7972,              0.0097525,              0.0097525,              0.0097525
                      4,                 1.4221,                   2.29,                 1.4702,                0.58583,                 0.1553,                0.16033,                  0.085,                 1.6584,                  2.678,                 1.8488,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.4534,                 2.2315,                 1.4887,                0.51244,                0.18518,                0.18474,                0.10673,                 1.6305,                 2.6497,                 1.7946,                0.00967,                0.00967,                0.00967
                      6,                 1.4279,                 2.1429,                   1.46,                0.68365,                0.21112,                0.23493,                0.13577,                 1.5569,                 2.4377,                 1.7045,              0.0095875,              0.0095875,              0.0095875
                      7,                 1.4213,                 2.1465,                 1.4668,                0.69803,                0.22571,                0.25205,                0.14737,                 1.5607,                 2.2635,                 1.6981,               0.009505,               0.009505,               0.009505
                      8,                 1.4104,                 2.0206,                 1.4431,                0.45238,                0.28564,                0.26478,                0.15079,                 1.5334,                 2.1842,                 1.6797,              0.0094225,              0.0094225,              0.0094225
                      9,                 1.3877,                 1.9436,                 1.4357,                0.55122,                0.24132,                0.27648,                0.15166,                 1.5631,                 2.1459,                 1.6834,                0.00934,                0.00934,                0.00934
                     10,                 1.3851,                 1.9669,                 1.4281,                0.63741,                0.21551,                 0.2602,                0.14406,                 1.6163,                 2.0638,                 1.7466,              0.0092575,              0.0092575,              0.0092575
